outcome,treatment,learner,subgroup_var,subgroup_val,confounder_set,dataset_type,coef,se,ci_lower,ci_upper,n,n_treated,n_untreated,n_clusters,cluster_var,rv_q,rv_qa
VeryHighRiskHome,treat_boil,enet,,,base,HH,-0.08238509792436749,0.005773361207807438,-0.09351676045657241,-0.07106951788732424,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,rf,,,base,HH,-0.08661189836769989,0.00734944427947698,-0.1010165444618587,-0.07220725227354108,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,xgb,,,base,HH,-0.04638191943584222,0.009738576399009076,-0.06546917843859178,-0.027294660433092657,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,stacked,,,base,HH,-0.09114225049429191,0.005447700494642223,-0.1018195472623517,-0.08046495372623211,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,ols,,,base,HH,-0.017269064520970417,0.013253636554534693,-0.04324571483204195,0.008707585790101113,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,lasso,,,base,HH,0.013728591375758136,0.015606237927319987,-0.017103054250880254,0.044316255647468335,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,ridge,,,base,HH,-0.02045393146719235,0.012964057555566556,-0.04586301736960717,0.004955154435222469,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,enet,,,base,HH,0.013827141215980216,0.012986859349209894,-0.011626635380758461,0.03928091781271889,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,rf,,,base,HH,-0.0002860061321378105,0.011764945622287587,-0.023344875831893652,0.022772863567618033,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,xgb,,,base,HH,-0.01078025751010413,0.01418725601658582,-0.038586768342061525,0.017026253321853268,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_chlorine,stacked,,,base,HH,0.016635536122951277,0.01127792948502428,-0.005468799487878668,0.038739871733781225,59620,1296,58324,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,ols,,,base,HH,0.019936512031655383,0.010169000530135865,-0.0004463746475095419,0.03986740716936585,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,lasso,,,base,HH,0.02367077976064424,0.009960967721665609,0.0046136622266763384,0.043193917053291855,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,ridge,,,base,HH,0.019676127121008302,0.00903216895116064,0.0005376803370910656,0.03737885630347036,59620,3051,56569,18655,Cluster_var,,
