sample_label,method,outcome,treatment,coef,std_err,p_value,ci_low,ci_high,N,K
All,PLR,VeryHighRiskHome,Strain/Settle,-0.033180092467395374,0.009929768464590512,0.0008333393478519873,-0.05264208103281437,-0.013718103901976378,50002,46
All,IRM,VeryHighRiskHome,Strain/Settle,-0.03155984452166889,0.00909009213695125,0.0005167986215250842,-0.04937609772624408,-0.013743591317093705,50002,46
All,PLR,SomeRiskHome,Other,-0.09379707014767015,0.010348208838408809,1.2565156131316256e-19,-0.1140791867754505,-0.0735149535198898,49267,46
All,IRM,SomeRiskHome,Other,-0.049144596482847316,0.007312844025263361,1.8133534404312788e-11,-0.06347750739692243,-0.03481168556877221,49267,46
All,PLR,VeryHighRiskHome,Other,-0.047031754050314324,0.0086634057853062,5.6739473715338704e-8,-0.06401171737297041,-0.03005179072765823,49267,46
All,IRM,VeryHighRiskHome,Other,-0.06702421469816983,0.011236609058162742,2.4492198538078526e-9,-0.08904756376052533,-0.04500086563581432,49267,46
RiskSource=No risk,PLR,SomeRiskHome,Any treatment vs nothing,-0.061826820865093175,0.008855964740522474,2.9230256259303195e-12,-0.07918419280487382,-0.04446944892531252,25511,46
RiskSource=No risk,IRM,SomeRiskHome,Any treatment vs nothing,-0.06574064534329464,0.007696762797198811,1.3267758137467678e-17,-0.08082602322335208,-0.05065526746323721,25511,46
RiskSource=No risk,PLR,VeryHighRiskHome,Any treatment vs nothing,0.0032726788180642897,0.005453283670088411,0.5484196384705982,-0.007415560772789402,0.01396091840891798,25511,46
RiskSource=No risk,IRM,VeryHighRiskHome,Any treatment vs nothing,-0.004254981178575887,0.005705336347700314,0.455794452830684,-0.015437234939755795,0.00692727258260402,25511,46
RiskSource=No risk,PLR,SomeRiskHome,Boiling,-0.09039234980470566,0.011914906345827182,3.2868090393093503e-14,-0.11374513712169468,-0.06703956248771664,23102,46
RiskSource=No risk,IRM,SomeRiskHome,Boiling,-0.1382052719952862,0.010643012129552164,1.477898666738955e-38,-0.15891402693876902,-0.11734535289296817,23102,46
RiskSource=No risk,PLR,VeryHighRiskHome,Boiling,-0.00018522661175293087,0.006343132861396884,0.9767041844781661,-0.012617538569243322,0.012247085345737459,23102,46
RiskSource=No risk,IRM,VeryHighRiskHome,Boiling,-0.013661960020083876,0.008491637026752789,0.10764425655302605,-0.03030526276230613,0.0029813427221383783,23102,46
RiskSource=No risk,PLR,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.04225508058777657,0.024233642763311733,0.08121949542201455,-0.08975214761807729,0.005241986442524139,20441,46
RiskSource=No risk,IRM,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.049887024417398736,0.023178534826141337,0.0313741959662882,-0.09531611789104312,-0.004457930943754351,20441,46
RiskSource=No risk,PLR,VeryHighRiskHome,Chlorine/Aquatabs/PUR,0.012742027296246076,0.01671046083176946,0.44575089985276495,-0.020049500585232152,0.04549392869158145,20441,46
RiskSource=No risk,IRM,VeryHighRiskHome,Chlorine/Aquatabs/PUR,0.02048194691254823,0.01496329753405072,0.17105793000150327,-0.008975125159060765,0.049809472119891354,20441,46
RiskSource=No risk,PLR,SomeRiskHome,Strain/Settle,-0.04944964291497391,0.020994984035281643,0.01850738445600959,-0.09059905548011934,-0.008300230349828477,20937,46
RiskSource=No risk,IRM,SomeRiskHome,Strain/Settle,-0.03096335844024004,0.01741589741561546,0.07542372843125167,-0.06509789013329054,0.003171173252810463,20937,46
RiskSource=No risk,PLR,VeryHighRiskHome,Strain/Settle,0.031440770867306254,0.014756096417069941,0.03311410960839152,0.002519353337448637,0.06036218839716387,20937,46
RiskSource=No risk,IRM,VeryHighRiskHome,Strain/Settle,0.05711798629591935,0.015369782899077259,0.000202199925993571,0.02677357086103764,0.08724221260259435,20937,46
RiskSource=No risk,PLR,SomeRiskHome,Other,-0.03151934006152475,0.015869768474856737,0.047019472910917244,-0.0626235147152331,-0.00041516540781640424,21307,46
RiskSource=No risk,IRM,SomeRiskHome,Other,-0.044318581745331466,0.01522558714622329,0.003605090399432909,-0.0741601841954051,-0.014476979295257836,21307,46
RiskSource=No risk,PLR,VeryHighRiskHome,Other,-0.007993122229348164,0.008785728255452919,0.3629359998851369,-0.025212833187991803,0.009226588729295476,21307,46
RiskSource=No risk,IRM,VeryHighRiskHome,Other,-0.004842908528722417,0.01145133921930677,0.6723594827401465,-0.02726131072126761,0.01760130391586987,21307,46
RiskSource=Moderate to high risk,PLR,SomeRiskHome,Any treatment vs nothing,-0.11379330781803394,0.006924960663798762,1.1224288160531951e-60,-0.1273659813134361,-0.10022063432263179,21841,46
RiskSource=Moderate to high risk,IRM,SomeRiskHome,Any treatment vs nothing,-0.09392643355172281,0.005503527274825246,2.6313490727421894e-65,-0.10471314879831416,-0.08313971830513146,21841,46
RiskSource=Moderate to high risk,PLR,VeryHighRiskHome,Any treatment vs nothing,-0.03766282088546374,0.00793009526698266,2.0406857735927894e-6,-0.053205522002721294,-0.02212011976820618,21841,46
RiskSource=Moderate to high risk,IRM,VeryHighRiskHome,Any treatment vs nothing,-0.0463126188935982,0.007339954350798744,2.796485078339233e-10,-0.060705092763541066,-0.03192657270254161,21841,46
RiskSource=Moderate to high risk,PLR,SomeRiskHome,Boiling,-0.17467053031012952,0.012094095552005234,2.789954999488525e-47,-0.19837452201764583,-0.15096653860261322,19252,46
RiskSource=Moderate to high risk,IRM,SomeRiskHome,Boiling,-0.1385153318669537,0.00930762107045605,4.318825650999231e-50,-0.1567579339467937,-0.12027272978711369,19252,46
RiskSource=Moderate to high risk,PLR,VeryHighRiskHome,Boiling,-0.027797197425157252,0.011530712466221758,0.01592152682772149,-0.05039697857503892,-0.005197416275275583,19252,46
RiskSource=Moderate to high risk,IRM,VeryHighRiskHome,Boiling,-0.07281792827239802,0.011254584670277177,9.795881558928604e-11,-0.0948765088870979,-0.05075934765769816,19252,46
RiskSource=Moderate to high risk,PLR,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.09370918646029285,0.01495863033796573,3.738877336945645e-10,-0.12302756318075389,-0.0643908097398318,17930,46
RiskSource=Moderate to high risk,IRM,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.06229927740102903,0.01256838599775466,7.16548287240992e-7,-0.08740131504110787,-0.037665682464396145,17930,46
RiskSource=Moderate to high risk,PLR,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.025034190945943256,0.01853543528950323,0.176819588447369,-0.06136297655114234,0.011294594659255825,17930,46
RiskSource=Moderate to high risk,IRM,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.03135256424966939,0.016136613986431434,0.05202272323780344,-0.06297974649550031,0.00027461799616153304,17930,46
RiskSource=Moderate to high risk,PLR,SomeRiskHome,Strain/Settle,-0.018302938255515856,0.009490840192458903,0.053794889680252686,-0.0369046432157605,0.00029876670472878814,18623,46
